0;-29,1831;
0,874998;-11,8545;
1,75;-6,24389;
2,62499;-3,96931;
3,49999;-14,3835;
4,37499;-3,93471;
5,24999;-6,18793;
6,12498;-12,0485;
6,99998;-25,7626;
7,87498;-11,7327;
8,74998;-6,28765;
9,62498;-3,98991;
10,5;-14,4527;
11,375;-3,91913;
12,25;-6,1512;
13,125;-12,1665;
14;-24,9114;
14,875;-11,6839;
15,75;-6,29152;
16,625;-4,00674;
17,5;-14,4257;
18,375;-3,83476;
19,25;-6,20529;
20,1249;-12,5851;
20,9999;-21,5872;
21,8749;-11,7346;
22,7499;-6,24096;
23,6249;-3,98597;
24,4999;-14,1818;
25,3749;-3,84578;
26,2499;-6,04862;
27,1249;-12,3668;
27,9999;-22,0767;
28,8749;-11,4955;
29,7499;-6,35182;
30,6249;-4,0332;
31,4999;-14,112;
32,3749;-3,82743;
33,2499;-6,02127;
34,1249;-12,6958;
34,9999;-20,1481;
35,8749;-11,2626;
36,7499;-6,3668;
37,6249;-4,03259;
38,4999;-14,1066;
39,3749;-3,79052;
40,2499;-5,96859;
41,1249;-12,7029;
41,9999;-19,0521;
42,8749;-11,0549;
43,7499;-6,37524;
44,6249;-4,03666;
45,4999;-14,2327;
46,3749;-3,77254;
47,2499;-5,88925;
48,1249;-13,1185;
48,9999;-17,9134;
49,8749;-10,9137;
50,7499;-6,42103;
51,6249;-4,01695;
52,4999;-14,4688;
53,3749;-3,7892;
54,2499;-5,94651;
55,1249;-12,8266;
55,9999;-18,2716;
56,8749;-10,903;
57,7499;-6,43069;
58,6249;-4,04491;
59,4999;-13,9993;
60,3748;-3,70842;
61,2498;-5,84918;
62,1248;-13,1168;
62,9998;-17,6219;
63,8748;-10,788;
64,7498;-6,47134;
65,6248;-4,0324;
66,4998;-13,7617;
67,3748;-3,66422;
68,2498;-5,77473;
69,1248;-13,2998;
69,9998;-17,3142;
70,8748;-10,7193;
71,7498;-6,4352;
72,6248;-4,04847;
73,4998;-13,7502;
74,3748;-3,60684;
75,2498;-5,73891;
76,1248;-13,5125;
76,9998;-17,5164;
77,8748;-10,8448;
78,7498;-6,43469;
79,6248;-3,94051;
80,4998;-13,0847;
81,3748;-3,67697;
82,2498;-5,15106;
83,1248;-11,9121;
83,9998;-12,248;
84,8748;-9,63669;
85,7498;-6,58625;
86,6248;-3,96789;
87,4998;-12,4521;
88,3748;-3,41275;
89,2498;-5,53893;
90,1248;-12,5954;
90,9998;-17,3033;
91,8748;-9,9751;
92,7498;-6,74492;
93,6248;-4,12699;
94,4998;-14,1422;
95,3748;-3,4879;
96,2498;-5,58733;
97,1248;-13,945;
